date,country,sector,sector_label,ticker,tariff_sensitivity,open,high,low,close,volume,daily_return_pct,weekly_return_pct,indexed_to_100,volatility_10d
2024-08-30,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.8887084793014,229.06492344430362,224.6467120638665,228.4619903564453,3249700,2.614874288514457,-0.964054463243158,425.8342651948292,2.190890937123878
2024-09-03,USA,Semiconductors,Semiconductors (USA),SOXX,High,224.17227504508836,224.20192625546343,209.82050102558293,211.0263671875,7214300,-7.631739153520611,-6.166226169276657,393.3357048488486,3.1654224632803762
2024-09-04,USA,Semiconductors,Semiconductors (USA),SOXX,High,208.66406628132623,214.9701520086411,208.08090567974688,211.71826171875,4435800,0.32787112836720755,-6.889808996570168,394.6253390626076,3.184800127882532
2024-09-05,USA,Semiconductors,Semiconductors (USA),SOXX,High,208.75301695968594,213.8730089096937,208.4169598464498,210.5815887451172,3988300,-0.5368799858855744,-5.688347763904922,392.50667459794744,3.0956836584149223
2024-09-06,USA,Semiconductors,Semiconductors (USA),SOXX,High,209.00012245914186,209.1582723076044,200.50965042105443,201.56724548339844,5596300,-4.2806891691891895,-9.465038260017344,375.7046838900884,3.1831609318859346
2024-09-09,USA,Semiconductors,Semiconductors (USA),SOXX,High,204.83890839041896,206.2622117814876,202.1899512139864,205.55056762695312,4078600,1.976175312611872,-10.02854903511341,383.1292671014508,3.098716648257651
2024-09-10,USA,Semiconductors,Semiconductors (USA),SOXX,High,205.92615265965873,207.94252550420498,202.58532386279208,207.71517944335938,2390600,1.0530799507859845,-1.5690872132573808,387.16392459888954,3.123596486529298
2024-09-11,USA,Semiconductors,Semiconductors (USA),SOXX,High,209.13848068044152,217.7871017760796,204.7696933196847,217.36209106445312,6521400,4.644297853890977,2.6657262816565552,405.1449704400759,3.530526421527203
2024-09-12,USA,Semiconductors,Semiconductors (USA),SOXX,High,216.16611081246484,218.4098145250977,213.13168806774885,216.40333557128906,4739100,-0.44108680058647654,2.7646039052437565,403.3579294522247,3.496122438260125
2024-09-13,USA,Semiconductors,Semiconductors (USA),SOXX,High,218.2912081583073,220.86107515858205,217.7673500163206,220.26803588867188,5268000,1.7858783494165031,9.277693089680916,410.56141138496673,3.555041514946764
2024-09-16,USA,Semiconductors,Semiconductors (USA),SOXX,High,217.12488493591593,218.43947726504325,214.5253514888296,217.33245849609375,2469800,-1.3327296358432217,5.731869780346788,405.08973778210304,3.443829686449779
2024-09-17,USA,Semiconductors,Semiconductors (USA),SOXX,High,220.07033883732933,220.58431826501592,215.70155140698964,217.59930419921875,2304100,0.12278225948003652,4.7584990092429,405.5871161150736,2.342305950555371
2024-09-18,USA,Semiconductors,Semiconductors (USA),SOXX,High,218.61739845674035,221.61230671349554,214.98004222308472,215.19749450683594,4671900,-1.1037763660236122,-0.9958482396892898,401.1103413837587,2.385923471938783
2024-09-19,USA,Semiconductors,Semiconductors (USA),SOXX,High,223.35187531170507,227.3944842737401,221.56284868499512,224.3600616455078,4624700,4.257748055882127,3.6768038039772133,418.18860914596786,2.6867052859613607
2024-09-20,USA,Semiconductors,Semiconductors (USA),SOXX,High,222.10648056778152,222.95651707325212,217.88594924906138,221.07852172851562,4550800,-1.4626221319982813,0.3679543591396994,412.07208999510317,2.216613956073474
2024-09-23,USA,Semiconductors,Semiconductors (USA),SOXX,High,222.14601959586292,222.93675371649715,220.36687159493567,221.93844604492188,2454200,0.388967824500952,2.1193279552906397,413.67491783893263,2.191653740898891
2024-09-24,USA,Semiconductors,Semiconductors (USA),SOXX,High,223.92517244193792,225.98107516727163,221.37506276576437,224.62693786621094,4314700,1.2113682280828764,3.229621387280801,418.68604436118153,2.194324819430068
2024-09-25,USA,Semiconductors,Semiconductors (USA),SOXX,High,223.90561884599856,227.66083711631617,223.77682245799605,226.1746063232422,2191200,0.6889950384993737,5.100947778951737,421.5707704337193,1.734001017065373
2024-09-26,USA,Semiconductors,Semiconductors (USA),SOXX,High,235.5378562740373,236.191801448646,228.17605191587978,234.2596893310547,5537400,3.574708557802264,4.412384099442979,436.6406968416063,1.964313199770981
2024-09-27,USA,Semiconductors,Semiconductors (USA),SOXX,High,234.97306657616585,235.00278998053585,229.34521360754613,230.54409790039062,2303600,-1.5860993589098538,4.281544899915124,429.7151415482621,2.065585457204555
2024-09-30,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.68065289551342,229.97936388264836,225.2135193438795,228.4733123779297,2693300,-0.8982166714827988,2.944449891158163,425.8553685069897,2.027530930934154
2024-10-01,USA,Semiconductors,Semiconductors (USA),SOXX,High,228.38413869573813,229.07771006282678,220.2891365484048,222.07261657714844,3926500,-2.801506983097235,-1.1371393446069522,413.925000620372,2.285554183572901
2024-10-02,USA,Semiconductors,Semiconductors (USA),SOXX,High,222.5085766737641,227.54193172943167,221.21058906226884,225.06488037109375,1762100,1.3474258285716134,-0.49065010886432114,419.5023329896461,2.2582585002391538
2024-10-03,USA,Semiconductors,Semiconductors (USA),SOXX,High,223.29132264731942,228.71111233557497,223.14270561038157,225.86746215820312,2110700,0.3566001882595149,-3.5824461292577325,420.9982790988402,1.8274972536679663
2024-10-04,USA,Semiconductors,Semiconductors (USA),SOXX,High,230.35589249653475,230.74231193544784,226.29352188747066,228.95883178710938,2685000,1.3686653222946266,-0.6876194739828811,426.76033655232317,1.7803233803875784
2024-10-07,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.49242152541703,230.1279928974319,226.67994135600887,228.33460998535156,2006800,-0.27263495226872436,-0.06070835632158156,425.5968387124619,1.7915950139100227
2024-10-08,USA,Semiconductors,Semiconductors (USA),SOXX,High,228.33460376148594,231.39623578049247,226.83847010140244,230.58377075195312,2508500,0.9850284049123692,3.832599582059637,429.78908846418864,1.7801803594548105
2024-10-09,USA,Semiconductors,Semiconductors (USA),SOXX,High,230.3558687197034,233.31841240600883,228.76064707372308,232.99143981933594,2019100,1.0441624141765082,3.521899745163548,434.2767845861635,1.792827145881616
2024-10-10,USA,Semiconductors,Semiconductors (USA),SOXX,High,229.86046431602298,232.63474975475478,228.53275329180508,231.35659790039062,1886400,-0.7016746710578614,2.430246344355158,431.2295743864379,1.393635908676565
2024-10-11,USA,Semiconductors,Semiconductors (USA),SOXX,High,229.6622897611046,234.02190927376617,229.54339613251116,233.29861450195312,4572900,0.8394040278888459,1.8954423731856629,434.8493328032856,1.3183507703466042
2024-10-14,USA,Semiconductors,Semiconductors (USA),SOXX,High,234.78484341723941,238.0842625335419,234.6362112639894,237.59877014160156,2142500,1.8431981042100976,4.057273733861155,442.86446746168605,1.36571821474769
2024-10-15,USA,Semiconductors,Semiconductors (USA),SOXX,High,237.0439176389324,238.2626227018001,223.6480193541415,225.27296447753906,6421200,-5.187655498686583,-2.303200375765857,419.89018456368086,2.032887633949662
2024-10-16,USA,Semiconductors,Semiconductors (USA),SOXX,High,228.0076237968017,228.0076237968017,224.33168796363768,225.27296447753906,3776600,0.0,-3.3127720691291773,419.89018456368086,1.9898023921284556
2024-10-17,USA,Semiconductors,Semiconductors (USA),SOXX,High,231.15842288570056,231.72318270215396,227.0465087890625,227.0465087890625,2407800,0.7872867992112065,-1.8629635594761829,423.19592455793435,2.0023384647874063
2024-10-18,USA,Semiconductors,Semiconductors (USA),SOXX,High,229.1768024927471,229.1867052557775,226.32323439288515,227.25460815429688,1643700,0.09165495049638928,-2.590673914013175,423.58380457309056,1.9504008684279508
2024-10-21,USA,Semiconductors,Semiconductors (USA),SOXX,High,226.34304460291992,227.43293811618327,223.90561944353638,226.8285369873047,2034300,-0.18748626065391294,-4.532949875068015,422.7896431371609,1.9495411449717923
2024-10-22,USA,Semiconductors,Semiconductors (USA),SOXX,High,225.59002134120044,226.70965342934943,224.20287858318392,225.98635864257812,2476400,-0.3712841232025865,0.31667988508679024,421.2198923176478,1.9165406599108825
2024-10-23,USA,Semiconductors,Semiconductors (USA),SOXX,High,225.5602789700126,226.4123851979332,220.8241582274626,223.96505737304688,2260000,-0.8944350808042123,-0.5805876917034936,417.452353833433,1.8760994901700696
2024-10-24,USA,Semiconductors,Semiconductors (USA),SOXX,High,225.97646761001482,226.11518189301714,223.5093188065562,225.21353149414062,2247900,0.5574414757987034,-0.8073135784813168,419.7794063953985,1.8941354384967135
2024-10-25,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.34378369882273,230.93056455238343,227.2645162365577,227.47259521484375,2209600,1.0030763718839486,0.09592195393408609,423.99011443498546,1.9052902378736702
2024-10-28,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.3933158772575,229.18669865101947,226.27368381947872,227.61129760742188,1508500,0.06097542978622528,0.34508912789972257,424.24864422951333,1.7675883236012746
2024-10-29,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.80945793242262,234.28943276435223,226.75919057353244,233.2094268798828,3135000,2.45951292018749,3.1962408176719803,434.6830944480584,0.9274420602682862
2024-10-30,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.18524930794285,228.62195127662784,224.89645613503293,224.9856414794922,4324400,-3.526352047778236,0.4556889893521987,419.35463824564357,1.5422272340048857
2024-10-31,USA,Semiconductors,Semiconductors (USA),SOXX,High,222.83553274696632,222.92471808553398,214.57209309602086,216.25648498535156,6120800,-3.879872705092735,-3.9771351434192526,403.08421209881044,1.9334262419573585
2024-11-01,USA,Semiconductors,Semiconductors (USA),SOXX,High,218.0003491906165,220.71518791561235,217.29685992352668,218.55520629882812,2130100,1.0629606384438661,-3.920203621712459,407.3688386132024,1.9883223415127185
2024-11-04,USA,Semiconductors,Semiconductors (USA),SOXX,High,217.9111789668956,220.4179691283214,216.4943126900304,217.296875,1727700,-0.575749862077235,-4.531595186989323,405.02341308674124,1.9881196506713548
2024-11-05,USA,Semiconductors,Semiconductors (USA),SOXX,High,217.39594858750158,220.03153497699472,217.12842279581199,219.83335876464844,2273700,1.1672895731466237,-5.735646407691686,409.75120915650535,2.0500500571817706
